Participant_number,Text_number,Total_words,Total_lines,Full_lines,Reading_start,Reading_end
S34,1,39,5,4,41.4324,52.3448
S34,2,65,7,7,92.7449,112.7033
S34,3,36,5,4,175.0117,185.8239
S34,4,45,5,4,230.3394,243.2339
S34,5,50,6,5,282.3683,296.8791
S34,6,54,6,5,334.0639,346.6088
S34,7,46,6,5,394.3729,411.6325
S1,1,39,5,4,31.0374,49.5633
S1,3,36,5,4,80.0676,95.3947
S1,4,45,5,4,192.8220,217.7454
S1,5,50,6,5,257.8961,291.3658
S2,1,39,5,4,45.8648,62.9246
S2,3,36,5,4,179.6941,199.3362
S2,4,45,5,4,244.5012,273.3396
S2,5,50,6,5,316.4888,347.6763
S2,6,54,6,5,376.1314,405.8196
S3,1,39,5,4,24.9543,36.3331
S3,3,36,5,4,113.7351,123.0981
S3,4,45,5,4,160.7827,176.3766
S3,5,50,6,5,223.0574,239.5840
S3,6,54,6,5,254.7115,270.5217
S4,1,39,5,4,25.0883,43.4976
S4,3,36,5,4,130.3126,147.4559
S4,4,45,5,4,184.3745,207.1984
S4,5,50,6,5,317.8871,337.2459
S4,6,54,6,5,349.7742,370.4824
S7,1,39,5,4,47.1638,72.6035
S7,3,36,5,4,123.4831,133.8958
S7,4,45,5,4,186.3911,200.8353
S7,5,50,6,5,213.2637,228.6074
S7,6,54,6,5,262.9937,275.0723
S42,1,39,5,4,62.3966,81.2893
S42,3,36,5,4,174.4846,194.8764
S42,4,45,5,4,225.8304,244.3398
S42,5,50,6,5,276.5432,299.6838
S42,6,54,6,5,328.6559,354.4953
S42,7,46,6,5,338.9143,414.4040
S44,1,39,5,4,122.0090,129.0894
S44,3,36,5,4,234.1969,242.2603
S44,4,45,5,4,285.5427,293.9393
S44,5,50,6,5,336.3389,346.3516
S44,6,54,6,5,386.6019,397.2310
S44,7,46,6,5,456.1403,466.7694
P1,1,39,5,4,28.7215,54.5445
P1,3,36,5,4,150.8723,172.5471
P1,4,45,5,4,191.0226,NA
P1,5,50,6,5,257.2457,284.1348
P1,6,54,6,5,289.4494,319.2542
P2,1,39,5,4,51.4124,72.3540
P2,3,36,5,4,151.3221,174.0129
P2,4,45,5,4,198.1530,226.1585
P2,5,50,6,5,285.0346,311.6906
P2,6,54,6,5,317.3218,349.8252
P3,1,39,5,4,24.8984,40.1756
P3,3,36,5,4,130.4225,141.5512
P33a,3,36,5,4,62.0081,136.4946
P33a,4,45,5,4,169.5144,291.4483
P33a,6,54,6,5,345.7429,485.9695
P51,1,39,5,4,39.5033,81.0195
P51,3,36,5,4,112.8568,168.6674
P51,4,45,5,4,198.7222,262.3131
P51,5,50,6,5,297.5322,359.1907
P51,6,54,6,5,394.8097,NA
P137a,1,39,5,4,117.7024,170.9809
P137a,5,50,6,5,198.7696,278.2039
P137a,7,46,6,5,324.4855,403.6699
P117a,1,39,5,4,53.3355,83.4231
P117a,5,50,6,5,124.5067,160.0088
P117a,7,46,6,5,200.6093,240.9095
P117b,3,36,5,4,35.6189,68.7054
P117b,4,45,5,4,95.9779,140.2432
P117b,6,54,6,5,NA,NA
P57,1,39,5,4,47.7412,67.5995
P57,3,36,5,4,172.2909,188.7814
P57,4,45,5,4,262.1045,287.7109
P57,5,50,6,5,313.6341,337.9575
P57,6,54,6,5,364.4135,387.4206
P57,7,46,6,5,425.8218,449.1458
P146,1,39,5,4,57.1270,80.3343
P146,3,36,5,4,124.9163,145.9409
P146,4,45,5,4,175.4124,207.7991
P146,5,50,6,5,231.9393,262.8602
P146,6,54,6,5,287.1338,317.7545
P146,7,46,6,5,347.9756,375.3478
